category,desc
Sales & Account Management,"Work with Google’s largest customers on projects that help them improve their mobile websites - in order to offer their users a better experience and increase their mobile ROI
Consult our advertisers on how to make their mobile sites load faster and improve the User Experience (UX) using tools like Lighthouse, WebPageTest and Google’s UX and speed research findings. Help our advertisers understand how Next Generation mobile web technologies from Google can improve their mobile site - from Accelerated Mobile Pages (AMP) to Progressive Web Apps (PWA) to our Payments and Identity APIs etc.
Partner with Google's tech support teams to leverage technical support for our most advanced advertisers. Successfully manage these cross-functional projects to speed up the implementation progress and increase the success rate.
Develop relations with both regional and global product management teams at Google to roll out best-in-class products to your country. Collate advertiser feedback in order to further improve our products.
Organize mobile site events, incl. hackathons and workshops. Train advertisers and agencies on mobile site speed, UX and technologies; develop case studies of successful projects for publication on our Think with Google site and at events to scale best practices to the wider industry."
Partnerships,"Build and inform the strategic direction for how Google partners with News and Publishing partners worldwide (Product strategy, partner engagement approach, industry/ecosystem engagement model and internal community/coordination).
Build and support relationships with senior cross-functional team members, including Marketing, Technical Support, Legal, Policy, Product, Engineering, HR, Finance, Communications, and Compliance to shape a well-coordinated support strategy and execution plans.
Direct and conduct complex analyses, solve strategic and operational challenges and identify key insights.
Communicate results and insights with strategy leads and key leaders (e.g. through presentations and ongoing analysis/reports, etc)."
Sales & Account Management,"Deliver against assigned business and pipeline goals while prioritizing an outstanding customer experience for our partners and prospects.
Contribute to territory strategy in generating and developing business growth opportunities in the defined LatAm market. Work with Field Sales Executives and Customer Engineers as a critical member of the team, and work closely with other Google Partners, in order to maximize business results in territory and to cultivate other opportunities.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle. Explore and understand complex customer requirements on both a business and technical level.
Lead demand generation and other associated campaigns from conception, planning, execution, and launch to post-launch analysis, directly and with partners.
Establish key relationships cross-functionally with regional peers, Sales Operations, Product Management, and Product Marketing teams. Identify and pursue business development opportunities. Analyze data trends and client performance, prepare and conduct presentations, and maintain effective communication with customers via phone/email and video conferencing technologies."
Sales & Account Management,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers, and Google Partners - all to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales & Account Management,"Develop and maintain C-level relationships to serve as a trusted partner with our customers.
Manage strategic account and business planning to define your business strategies and tactics.
Build and maintain a strong knowledge of the Google/DoubleClick suite of solutions. Monitor and become an expert on the market landscape.
Coordinate internal resources across many functional areas."
Sales Operations,"Partner with Field Sales teams early in the business cycle to drive proposal development and shape large, strategic, enterprise agreements.
Project manage the consultation and execution of agreements and coordinate the preparation of responses to Requests for Information/Proposals/Quotations.
Engage directly with enterprise customers to lead commercial and contractual consultations, independently handling objections, socializing customer requests with internal stakeholders, and coordinating approvals.
Build productive relationships and feedback loops with teams to accelerate agreements and drive continuous process improvement and serve as the Commercial Operations business partner to Regional Sales and Sales Operations Management, attending forecast calls, staff meetings and business reviews to keep apprised of priorities.
Introduce prospective customers to cloud concepts, norms and industry standards. Draft term sheets and provide customer facing analysis demonstrating value of the Google solution."
Partnerships,"Identify, drive, and optimize business growth flow from new business opportunities by leveraging Google technologies
Manage and maximize customer acquisition and business generation through Google's small and medium sized business channel partners. Implement processes for managing, engaging, and expanding technology partnerships.
Lead cross-functional team with Engineering Sales and Partner Managers toward common goal with specific partners.
Address product related questions and technical challenges and Improve product feature offerings by providing partner feedback to internal cross-functional teams including Product Management and Engineering.
Analyze and optimize the business growth of existing partners."
Sales & Account Management,"Develop and cultivate deep relationships with agency executives and clients.
Lead industry-focused knowledge, go-to-market approach and value proposition.
Generate and grow advertising business across our unique mobile product line.
Identify client business needs and develop a consultative approach in order to substantially grow accounts."
Marketing & Communications,"Work closely with Optimization and Web team members to define Key Performance Indicators (KPIs) and critical measurements and then translate these requirements into analytics tracking.
Work with technical team to ensure accurate and comprehensive web analytics implementation and successful deployment of new solutions.
Identify opportunities for automation and innovation in the area of web analytics implementation, quality assurance testing to validate and debug analytics implementations and web experimentation projects.
Create proper data architecture, data integration, reporting and dashboarding for ETL projects. Work with other teams to integrate online data with other channels, to allow comprehensive business insight across multiple channels.
Support the internal team in the installation, configuration and use of Google Analytics, Google Tag Manager, and other Google products."
Sales & Account Management,"Investigate and track client implementation concerns and collaborate with cross functional team to resolve any Google Analytics implementation issues. support narrative creation
Work collaboratively in a large sales organization to drive market share growth for the product.
Develop strong relationships within all levels of major advertisers, publishers, resellers and agencies to serve as a trusted consultant in order to solidify and grow those partnerships.relevant to Korea market needs
Manage current accounts and consult clients on how best to leverage digital ad platforms with a data-driven approach.
Coordinate internal resources across many functional areas to garner business and fulfill customer needs."
Sales & Account Management,"Partner with Field Sales teams early in the sales cycle to manage proposal development and shape strategic agreements.
Engage directly with business customers to lead commercial and agreement discussions; independently handle objections, socialize customer requests with internal stakeholders and coordinate approvals.
Serve as the Commercial Operations business partner to Regional Sales and Sales Operations Management, attending forecast calls, staff meetings and quarterly business reviews to keep apprised of priorities.
Build productive relationships and feedback loops with Legal, Finance, Sales and Product teams to accelerate agreement closure and drive continuous process improvement."
Partnerships,"Work with Alliance Managers to manage and grow new strategic partnerships, acting as Chief Technical Officer (CTO) of the partnership.
Demonstrate thought leadership and become a trusted technical advisor to our partners.
Develop technical relationships with leaders from partners’ vertical and horizontal practice areas.
Provide architectural advisory support for partners and their customers, including reviewing partners’ solution designs and identifying how to maximizing usage of Google products, independently architecting and documenting new solutions which would meet partners’ business objectives, and working closely with field sales teams to solve partner problems and address detailed questions in active agreements.
Co-develop Go-to-Market offerings with our partners to meet the needs of joint customers."
Partnerships,"Manage a team responsible for acquiring new partners. Actively coach and develop a team on effective outreach and presentations, guide their immediate and long-term development and results.
Drive key outbound partner initiatives and develop business cases to shape the future of businesses.
Develop and manage partner engagement strategy and key C-level executive relationships. Manage client-facing team and cross-functional resources to structure strategic agreements and proposals (including solution development, pricing, rollout and operational implications).
Manage goals and business processes to grow the partner portfolio, including forecasting, pipeline management, and setting goals and incentives to motivate team.
Work collaboratively with other functional teams in Online Partnerships and across Google to deliver long-term value through these partnerships."
Product & Customer Support,"Work with data sets and solve non-routine analytical challenges, applying analytical methods as required. Conduct end-to-end analysis including: data gathering and requirements specification, processing, analysis, ongoing deliverables and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop an understanding of data structures and goals, advocating for changes where needed for both products development and sales activity.
Interact cross-functionally with a wide variety of teams, and work closely with Engineers to identify opportunities for design.
Make business recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products."
Finance,"Hire, coach and drive a high performance team to deliver against assigned goals while prioritizing an outstanding customer experience to customers and prospects.
Work with the team to ramp up adoption in the late cycle. Create activities (e.g. identifying and handling key customer technical questions and objections) and develop the strategy to resolve technical impediments and scoping out migration workloads.
Take responsibility for technical aspects of solutions to include such activities as managing product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness."
Sales Operations,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Inside Sales Representatives, Customer Engineers, and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales & Account Management,"Optimize the value of client accounts by analyzing and managing their campaign strategy - across both Search and Display - improving campaign performance.
Ensure high performance and measure the impact of the most complex and high value campaigns.
Work with multiple stakeholders to manage the execution of scalable optimization workflows.
Build thorough knowledge of how clients can use Google products to meet their marketing objectives across Google Search, Google Display Network and YouTube.
Be a performance digital consultant for customers. Manage and report on most complex and impactful Search and Display/YouTube campaigns."
Sales Operations,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.
Travel regularly in EMEA for meetings, technical reviews and onsite delivery activities."
Sales & Account Management,"Build and grow a Google Cloud Platform (GCP)-focused SMB Sales team.
Optimize the team for scale and business growth by acquiring new customers and increasing spend from existing GCP customers.
Test and iterate on new approaches to grow spend in this segment, working closely with our partner team and our vendors, as well as working on programmatic initiatives to increase business growth.
Develop and implement best practices, ensuring the team is up to date with the newest trends and improve team skills through development and training."
Sales Operations,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.
Travel regularly in EMEA for meetings, technical reviews and onsite delivery activities."
Sales & Account Management,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Help develop and execute a territory business plan, and build targeted plans for the Anvato solution, resulting in a robust pipeline.
Execute demand generation activities as needed, and engage, educate, and ensure satisfaction of the installed base.
Qualify, and assist customers in identifying use cases suitable for Google cloud deployment, articulate key differentiators and typical customer buying journeys.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales & Account Management,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers, and Google Partners - all to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales & Account Management,"Define customer-centric and industry-specific use cases. Build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions.
Help partners grow their practice and product portfolio through joint development of solutions and services. Develop and provide custom presentations on Google Cloud Platform technologies to partners to help them achieve strategic goals.
Advocate for Google’s strategy in key industry events.
Develop Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales and Marketing. Support regional engagement with global and regional partners."
Sales & Account Management,"Lead a team of managers and their teams in South East Asia to achieve maximum business growth, focusing on people leadership and motivating and enabling the team to be successful. Hire, coach and drive a high performance team to work towards business goals, and prioritize an outstanding customer experience to customers and prospects
Contribute to territory strategy in generating and developing business growth opportunities; work with Field Sales Managers, Customer Engineer Managers and Google Partners to maximize business growth.
Drive your team through business development and accurate forecasts to achieve strategic goals. Explore and understand complex customer requirements on both a business and technical level.
Develop and implement best practices for your programs and markets, ensuring the team is up-to-date with the newest trends and pitches. Improve team skills through development and training; manage the sales operation to operate at scale and provide management support and coaching.
Identify growth projects and programs that can scale the business. Plan and execute programs and work with cross-functional stakeholders in the wider cloud organization."
Partnerships,"Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s Cloud infrastructure offerings and Google SaaS offerings.
Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions; commit to partner resources to product sales and implement for end customers.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google Cloud Platform technologies to partners to help them scale our joint business.
Advocate Google’s strategy in key industry events and shape industry agenda and standards.
Develop Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales and Marketing; support regional engagement with strategic global and regional partners."
Sales & Account Management,"Develop business frameworks and training materials to build sales and agency team's competency in negotiating complex agreements.
Drive large-scale media business opportunities from inception to full activation in partnership with Large Customer Sales (LCS) and agency teams.
Lead or support structuring, negotiating, finalizing and activating agreements which may include alternative “value-added"" services.
Oversee display and video incentive program support and approval, including adherence to global policies/exception handling processes.
Manage a team of Upfronts Deal Specialists covering top advertisers and agencies."
Product & Customer Support,"Become the Lead Trainer for our business courses, which involves working closely with the curriculum team on content development and enhancement.
Deliver engaging training experiences to diverse audiences (e.g. large global Systems Integrators, small born in the cloud partners, Googlers etc).
Evaluate and coach Trainers in our internal and external networks who have been authorized to give Business training.
Work with the Training operations team and other teams as required to ensure optimal training experiences for your audiences.
Participate in marketing and other executive level events focused on the business benefits of Google Cloud."
Sales & Account Management,"Become a Brand advocate; engage and influence internal and external relationships; build, customize and deliver solutions through forums to achieve outcomes in support of the Brand Advertising Annual Plan.
Align and integrate resources across the Brand team, a specified portfolio and other cross-functional Google teams to work towards a specified portfolio’s brand goals and priorities.
Understand internal tools (across insight development, planning, booking and measurement) as well as navigate the different media buying methods to deliver outcomes (direct, agency, trading desk); build brand capability, by role modelling, coaching and collaborating with peers.
Integrate Google’s product solution suite to make an impact; align media supply (inventory pools) and demand (buyer expectations) to maximize growth.
Assist the Brand team and Industry Leaders/Heads in strategic planning and forecasting and operational reporting; including annual and quarterly account planning and bottoms up forecasting; as well as managing brand pipeline and reporting."
Partnerships,"Manage business performance of partners and map partner capabilities and priorities with business goals and strategies to work towards strategic objectives; manage quarterly business reviews with key service partners and Google leadership.
Drive partner value propositions into Partner Sales Manager (PSM) and/or Sales teams, and support PSM’s/Sales teams on complex agreements when needed.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners, to help them scale our joint business.
Advocate Google’s strategy at industry events and shape industry agenda and standards; drive and support regional demand generation activities and events with partners.
Shape Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales, and Marketing; support regional engagement with strategic global and regional partners."
Sales Operations,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Inside Sales Representatives, Customer Engineers, and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales & Account Management,"Build and cultivate relationships with customers and advise them on their accounts.
Assist in the delivery of overall business strategy based on metrics and trusted partnerships.
Maintain visibility across Google's ongoing development of advertiser products to maximize campaign results through reporting and insights.
Work collaboratively with both local and global teams to support new and existing customers, projects and regional KPIs."
Sales & Account Management,"Manage trusted relationships with a portfolio of large clients and develop a thorough understanding of their business opportunities and challenges.
Help brands achieve their national online marketing and sales goals through marketing solutions on YouTube, Google Search and Display Network (GDN) platforms.
Offer a high-quality portfolio of online media solutions to grow clients’ business and work together to define their online strategy and maximize their ROI.
Participate in team and cross-functional projects which will help companies drive online conversions and build brand awareness via Google’s various online channels."
Sales & Account Management,"Consult with customers on technical issues based on in-depth product and technical knowledge.
Develop technical tools and documentation to expedite implementations and improve product serviceability.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Provide product solution improvements and market opportunities to Product Managers and Engineering.
Provide highly technical implementation support in customer environment, including guidance on implementation feasibility of cross-product integrations."
Product & Customer Support,"Contribute to account/territory strategy by performing internal and external research to identify opportunities and challenges.
Prepare customer proposals and account plans to support the business cycle. Communicate effectively with English, Mandarin and Cantonese speaking clients.
Analyze customer and industry data to provide key business insights, prepare Customer Business Reviews and help identify ways in which Google Cloud can transform their business through defined insights.
Support pipeline building activities by actively engaging with leads, including senior executives and stakeholders, and supporting planning of customer events."
Product & Customer Support,"Build relationships with sales and marketing leaders.
Recruit and train team members on best practices and techniques to help qualify inbound demand and generate high quality qualified prospects for sales follow up.
Consolidate and interpret inbound funnel metrics for your team. This includes inbound activity reporting at a POD/Regional level.
Support vendor in ongoing activities, including monthly planning of resource staffing, training and certification of new agents and tools access.
Maintain product and tool expertise in order to properly maintain quality and training of vendor and on-site teams. Provide regular status updates to global stakeholders, maintaining clear project timelines and documentation."
Program Management,"Manage the day-to-day delivery of Google’s in-store retail experience, helping to build a portfolio of high-performing retail locations that consistently meet standards for merchandising, compliance and other key performance metrics.
Ensure the successful implementation and ongoing management of all customer experience roll-outs, including new products and services.
Ensure that consumer insights are collected and elevated to the regional and corporate teams in actionable formats in order to drive the business forward, working in conjunction with third party providers.
Act as the first line of support for issues related to merchandising compliance, fixtures, and in-store vendors."
Sales & Account Management,"Serve as a liaison with clients regarding new product launches and advertising opportunities.
Provide campaign updates and ensure that our partners are satisfied with their business growth.
Manage ongoing customer training in all AdWords-related tools.
Take responsibility for the management of clients.
Report on business figures internally and take ownership with the leader of your assigned vertical."
Product & Customer Support,"Prioritize and deliver outstanding customer service experience to Google's advertisers, publishers, and/or users.
Manage customer inquiries by phone, e-mail, and/or live chat.
Implement creative ways to improve our customer and business relationships.
Provide strategic and consultative advice and help solve technical issues."
Product & Customer Support,"Develop and implement strategies to enforce YouTube content policies at scale across hundreds of millions of videos/comments in the most optimal way.
Deliver and implement solutions, leveraging machine learning, among others, to ensure our solutions constantly and rapidly adapt to the changing landscape or users.
Deliver constant improvements to our health/safety metrics quarter based on an understanding of drivers of current performance. Leverage deep programming skills to ensure that solutions fit within the current complex product and backend infrastructures.
Work closely with Policy and Operations teams to understand the ever-changing policy enforcement landscape, and with Engineering teams to develop and test new features that address operational needs.
Provide rapid incident response for abuse problems, operating independently. Analyze and draw conclusions on root-causes and define and implement mitigation steps. Monitor and optimize system health."
Sales & Account Management,"Target new customers and develop strong relationships with clients in Telecom industry and their marketing services agencies.
Collaborate and consult with major customers with the goal of extending relationships, increasing our client and agency base and optimizing their advertising expenditures.
Develop scalable and leading edge solutions for the top brand clients in order to help them meet their marketing objectives using the full suite of Google products (Search, Video, Display, Mobile, Social, etc.).
Analyze data trends and client performance, develop solid strategic business plans, and prepare and conduct strategic pitches and business presentations.
Develop, agree and implement as well as manage execution of campaigns and Joint Business Plans across various Google products and services. Ideate and execute case studies of successful campaigns in order to share insights with customers and to serve as an advocate at targeted events and conferences."
Sales & Account Management,"Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals, references and analyst data.
Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline, and provide guidance. Work with Google Cloud Platform partners to develop campaigns.
Serve as the primary customer contact during bid submission, pilot test, legal review and procurement. Keep records of customer interactions and provide quarterly projections.
Build a pipeline of customers within selected verticals.
Leverage Google Sales Engineering and marketing resources, and provide input on current collateral materials and ideas on how to improve them."
Partnerships,"Work with regional and global teams to build project plans and report milestones to deliver cross functional project plans for product launch.
Work with regional logistics to develop processes and reporting to track and understand movement of product from factory to end user.
Respond accurately to global/regional requests requests for data."
Sales & Account Management,"Analyze, identify and prioritize Portfolio team's account leads and activities to proactively identify multiple opportunities and pitch strategies or suggestions to advertisers, hence improving their campaigns performance. Maximize opportunities through consultative approaches via various communication channels.
Create keywords, ad groups, account structures and budget recommendations designed to uncover the account potential and add advertiser value.
Manage high-trusted relationships with key advertisers and develop a thorough understanding of their business challenges.
Leverage on this strategic partnership to add value to our advertisers' business and hence grow their accounts."
Partnerships,"Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle.
Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams.
Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud.
Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem."
Sales & Account Management,"Manage relationships with media clients, and develop a thorough understanding of their business challenges and opportunities.
Leverage on this strategic partnership to add value to our advertisers' business and hence grow their accounts.
Think of creative ways to improve our relationships with our clients and keep them at the forefront of their market.
Consult with clients on the wider strategic opportunities in relation to AdWords.
Improve clients' campaign performance and return on investment."
Sales & Account Management,"Deliver against assigned strategic goals while prioritizing an outstanding customer experience for customers and prospects. Communicate effectively with English, Mandarin and Cantonese speaking clients.
Contribute to the territory strategy in generating and developing business growth opportunities. Work with Field Sales Executives and Customer Engineers, and work closely with Google Partners in order to maximize business results in the territory and to open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the business cycle, beginning with demand creation. Explore and understand complex customer requirements on both a business and technical level.
Lead demand generation and other campaigns from conception, planning, execution, and launch to post-launch analysis. Establish key relationships cross-functionally with regional peers, Sales Operations, Product Management and Product Marketing teams; identify and pursue business development opportunities.
Analyze data trends and client performance, prepare and conduct presentations, and maintain effective communication with customers via phone/email and video conferencing technologies. Maintain operational excellence for information relating to accounts and forecast."
Sales & Account Management,"Build and maintain strong thought leadership regarding DoubleClick Digital Marketing (DDM) across an allocated portfolio of agencies and clients in order to support advertiser and agency organizations in their alignment into a data-driven marketing environment.
Drive performance for clients through implementation and consulting, growing Media Buying Solutions and account performance.
Take complete responsibility for performance of campaigns under your watch and serve as a consultant to agencies. Manage expectations transparently and constructively.
Build capability regarding DDM across our agency partners and clients in Indonesia"
Sales & Account Management,"Deliver against assigned strategic goals consistently, while prioritizing and delivering outstanding experience to Google's top-managed agency partners.
Collaborate and consult with major agencies with the goal of extending relationships, increasing our client and agency base, and optimising their advertising efforts.
Manage and develop primary agency relationships from executive level to account teams including media planners and buyers.
Build compelling, data-driven long-term agency plans leveraging internal and third-party data. Synchronize agency plans with the Agency pod and internal cross-functional teams to further develop our managed agencies.
Drive market strategy and partnerships with cross-functional teams to foster business growth."
Product & Customer Support,"Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects including supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.
Travel within APAC as required."
Sales & Account Management,"Secure new Google clients by presenting mobile app promotion marketing solutions and creating relevant ad campaigns.
Work within a team that supports mobile apps, and educate customers on the opportunities within them.
Thrive in forming cross-functional relationships with other stakeholders to realize advertiser goals.
Develop business strategies that optimize the market potential. Provide excellent client service by giving potential new customers the attention they require.
Contribute to the development of Google’s comprehensive suite of app install ad products."
Sales & Account Management,"Think of creative ways to improve our relationships with our clients and grow client accounts.
Improve clients' campaign performance and business growth.
Generate business plans to define your business strategies and tactics and support client(s) with the creation of global/regional large-scale advertising programs (e.g. global sponsorship campaigns, cross-market product launch or brand campaigns).
Manage trusted relationships with clients and develop a thorough understanding of their business challenges.
Leverage on this strategic partnership to add value to our advertisers' business and hence grow their business."
Partnerships,"Work with head of Telco Partnerships Solutions and cross-functional teams to help align on, and position, Google's cross-functional approach to Telco partners, including overall direction and priorities for the vertical - and package into compelling narratives.
Develop agenda, presentations and briefings for cross-functional strategies, partner summits and industry events.
Activate global and regional communities of practice to upskill in-country teams on industry expertise, share best practices, monitor progress on global/regional vertical specific OKRs.
Work in partnership with the frontline teams working with Telco partners to coordinate and channel industry outreach efforts to advance Google’s thought leadership position across the industry."
Partnerships,"Manage business performance of partners and map partner capabilities and priorities with business goals and strategies to work towards strategic objectives; manage quarterly business reviews with key service partners and Google leadership.
Drive partner value propositions into Partner Sales Manager (PSM) and/or Sales teams, and support PSM’s/Sales teams on complex agreements when needed.
Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners, to help them scale our joint business.
Advocate Google’s strategy at industry events and shape industry agenda and standards; drive and support regional demand generation activities and events with partners.
Shape Google’s approach to partnership strategy with stakeholders in Partner Programs, Product Management, Engineering, Sales, and Marketing; support regional engagement with strategic global and regional partners."
Sales & Account Management,"Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers, and Google Partners - all to maximize business results in territory and open up opportunities with large enterprise customers.
Drive business development, forecast accurately and achieve strategic goals by leading customers through the entire business cycle.
Explore and understand complex customer requirements on both a business and technical level; Engage, educate, and ensure satisfaction of the installed base.
Manage multiple opportunities through the entire cycle simultaneously, working with cross-functional teams as necessary, and serve as the primary customer contact for all adoption-related activities."
Sales Operations,"Work closely with members of the Large Customer Sales (LCS) Accelerator Sector team to ensure sales and implementations of client measurement and attribution strategies. Identify and unlock opportunities within the Sector.
Analyze data in order to understand industry trends and client performance, develop strategic business plans, and prepare and conduct strategic pitches and business presentations.
Develop case studies of campaigns in order to share insights with customers and to serve as an advocate at events and conferences. Champion new product releases, internally and externally.
Collaborate and consult with customers (across markets and geographies) with the goal of extending relationships, increasing our client and agency base and optimizing their advertising investment.
Work cross-functionally within Google and collaborate on projects to drive the adoption of our tracking and measurement solutions as well as sustainable client success."
